201	12	303	953
983	856	83	653
47	7	858	441
446	885	982	244
851	851	944	75
498	950	809	452
467	326	231	472
412	643	972	845
369	247	294	187
705	815	120	421
56	140	416	596
631	311	922	631
40	767	647	856
966	392	662	894
896	896	902	692
527	558	527	918
914	218	777	972
134	67	135	375
739	520	470	739
901	901	635	611
138	695	917	133
626	216	880	311
478	624	723	187
323	441	323	375
162	162	172	162
30	20	146	724
634	412	412	19
351	338	144	991
291	700	340	218
391	264	754	971
386	72	72	386
862	36	626	17
668	280	56	260
444	444	444	98
888	913	70	517
727	454	936	561
331	794	550	803
681	80	683	860
37	774	817	92
591	152	897	998
48	311	228	600
561	754	566	230
547	257	270	774
13	916	899	13
425	14	91	241
316	311	179	912
695	247	437	720
243	370	144	508
301	871	399	412
811	139	790	825
531	486	894	100
263	330	445	555
813	518	253	356
399	866	132	604
720	791	802	888
430	426	329	718
112	530	364	364
97	556	955	611
390	390	95	38
692	237	237	611
544	849	556	718
859	241	196	753
250	29	477	749
745	126	81	5
711	554	665	238
693	12	475	803
359	359	58	359
713	617	216	226
805	740	630	20
369	589	706	891
419	417	679	452
502	738	995	127
156	610	107	927
482	123	681	626
957	993	8	468
852	384	852	384
760	299	647	299
276	130	743	979
533	140	957	127
191	516	646	556
419	147	589	262
429	192	429	957
44	503	242	476
729	732	880	880
709	765	765	609
812	62	256	256
956	956	190	522
55	44	323	119
405	271	774	147
85	239	17	905
877	273	296	324
12	949	254	263
290	807	381	101
773	43	738	14
530	202	646	383
196	31	674	935
840	73	155	603
396	450	450	396
100	286	823	79
627	567	497	284
824	666	289	126
221	613	613	221
685	154	732	234
477	975	129	344
864	771	445	55
107	812	637	322
572	953	177	179
923	21	332	21
964	35	278	195
16	46	11	877
989	312	669	543
508	232	498	498
394	145	484	689
345	35	35	502
170	152	667	661
714	69	225	261
856	63	475	797
941	867	756	263
197	69	126	344
660	353	473	865
387	508	508	616
767	453	438	146
689	897	276	639
998	168	474	128
184	638	761	295
184	918	592	562
162	473	622	25
350	350	605	335
745	786	77	774
318	373	4	844
986	835	475	570
604	172	946	30
691	265	988	148
24	912	932	842
467	467	383	183
797	797	151	151
249	475	547	727
106	877	106	877
696	696	506	506
724	902	648	648
42	364	973	929
417	443	590	417
992	602	933	325
685	939	986	67
299	703	256	532
387	372	783	200
439	753	439	144
828	592	26	888
150	676	60	763
361	596	226	226
139	105	744	817
260	538	260	509
884	361	110	326
23	597	132	105
666	589	904	614
498	273	987	987
498	868	800	733
799	348	664	901
189	894	572	644
845	825	719	373
539	327	443	744
605	684	183	485
987	188	683	683
432	624	43	342
452	223	223	637
913	351	743	729
705	782	664	705
306	615	432	133
690	606	776	299
953	783	938	855
474	421	901	474
699	160	74	796
967	179	81	351
895	50	890	50
22	970	154	581
468	642	526	642
729	245	658	246
937	571	830	907
367	744	501	644
690	265	401	26
96	96	418	618
809	432	915	786
814	441	628	740
50	589	160	160
743	428	677	426
463	175	994	327
516	175	837	528
843	843	568	224
723	748	776	178
418	170	722	418
894	624	825	659
915	133	105	486
932	533	356	273
799	153	365	410
48	171	557	343
888	389	54	17
134	867	923	923
598	147	353	79
550	959	947	337
21	114	334	334
962	158	741	189
946	946	508	471
931	440	323	18
960	936	693	116
990	465	306	299
346	544	168	102
850	216	315	890
60	754	975	116
816	356	556	90
275	275	525	42
506	488	281	281
321	684	941	535
112	383	655	655
274	88	202	202
987	130	885	94
295	27	240	872
800	213	789	702
89	89	903	445
548	192	333	199
688	455	244	839
725	91	632	689
256	167	997	664
