5499	7474	4866	2907
2434	7598	40	8636
2197	9904	1312	2956
614	5502	1929	855
4655	3919	7295	4821
5832	478	519	8513
3140	4147	1496	7260
1640	8357	5555	1829
3112	8354	710	5023
8890	5097	4298	510
6481	4550	5121	7791
9344	4653	7828	3844
2584	5696	9146	8908
9819	2756	4479	1104
5462	360	8506	3077
4195	9188	3579	1612
3910	9072	7590	3416
1212	9188	8444	8623
1952	816	265	582
9002	206	1791	5051
7682	1908	8178	5807
1583	7102	7927	7934
3576	9354	7032	746
5477	5684	8673	727
7655	9343	5019	1486
724	355	4083	4622
2018	5353	8361	5169
1273	4189	2401	4513
3244	9164	6803	5378
760	9108	1773	7878
9697	604	4797	4000
6863	9372	9879	5484
2873	1314	8174	4588
7867	4672	2861	3205
2125	6620	1824	6921
2388	4894	5347	9724
1747	8181	1088	4633
23	2097	1924	359
8296	6653	4565	1716
2473	3175	8857	5203
2092	8007	8487	6454
804	1007	2409	6947
443	2574	554	3000
1476	7883	4708	3379
5451	7692	8000	1714
2146	6277	4580	4997
5254	4138	1295	8822
9007	4813	9986	6224
8214	9437	3107	5771
2293	8476	541	4938
7202	6644	4834	4679
9797	6770	1783	3307
3904	1814	8471	6123
3214	4543	9964	6458
2511	1186	5299	6624
3620	8482	1336	7193
5064	9253	1310	2534
5185	8357	6317	3108
7392	283	3103	8163
2218	1964	2076	7462
2382	7393	1005	5576
2548	1523	9673	2572
2908	988	91	7624
2808	659	8111	4671
6006	5389	2228	4486
4940	6060	1447	8765
6225	4966	3437	9550
7360	5226	8687	5084
3477	2757	6808	4053
7043	2933	2662	5012
7459	9620	9832	9285
332	9564	1197	2727
3784	7216	9339	9839
6300	3893	9872	322
1995	2348	4642	2390
9553	8699	738	2670
188	1674	7748	3117
258	2458	7293	8235
6766	7407	9406	5352
2441	9212	1006	6544
2643	7240	3331	5489
8534	8182	8301	3072
2512	8056	4101	2318
2634	4785	6493	5695
1496	5934	631	6249
6822	6748	7180	3611
5120	8902	160	3092
876	3818	5599	5222
867	4819	2544	354
2294	30	9039	5297
5362	2608	4040	13
8434	5993	9676	3734
1200	4472	8450	7134
4091	6208	9753	4182
3507	318	8271	6158
9020	4390	225	6438
9330	6850	3937	2511
8364	4794	7408	3515
3080	3989	6158	9811
2961	4298	9729	1821
9289	9687	5285	3399
3612	9370	2042	1673
4026	8264	5899	4867
