58	86	44	18	70
139	82	92	5	59
79	30	17	12	87
150	91	62	108	51
145	147	86	6	34
73	132	103	81	26
66	85	65	50	137
42	116	115	62	83
109	33	93	145	26
89	131	124	99	107
149	136	3	43	48
43	10	60	39	105
39	100	50	149	115
63	143	38	57	1
139	128	54	128	94
65	94	11	30	68
94	122	37	104	121
136	75	98	33	68
90	81	62	31	33
122	149	97	1	1
107	84	142	49	42
21	79	139	142	122
29	93	60	12	47
64	9	5	2	81
6	5	138	134	131
118	21	65	25	4
39	141	66	46	108
82	85	62	110	38
60	112	74	15	67
17	76	92	27	21
95	41	141	14	94
108	8	109	28	112
8	8	12	78	29
28	6	44	77	109
9	45	11	134	13
85	23	59	91	71
126	118	24	127	88
110	135	40	11	30
6	28	76	14	4
127	80	116	81	1
97	117	46	128	109
97	55	20	31	75
137	140	83	104	65
65	127	142	54	14
137	139	121	100	149
41	81	101	16	121
22	141	114	101	128
19	144	107	115	116
123	99	43	115	79
67	93	81	81	39
64	122	110	143	129
109	30	134	109	135
10	117	59	38	19
105	2	104	142	17
68	130	79	55	38
41	72	43	108	67
33	117	13	125	107
90	18	115	36	128
43	43	60	66	41
113	130	19	95	148
147	48	33	123	96
83	11	6	100	118
85	30	16	29	28
40	46	72	23	97
148	29	69	10	125
37	51	36	134	137
96	137	103	84	132
19	92	97	104	80
17	4	36	104	33
85	14	17	141	150
81	93	65	92	93
113	48	34	51	63
90	59	114	111	148
99	70	26	94	34
5	129	98	133	26
55	63	15	75	104
113	127	32	147	118
148	119	72	91	1
11	133	144	82	27
12	12	12	1	30
49	42	16	50	43
141	147	33	109	92
142	28	16	131	137
121	101	40	57	20
103	12	125	52	37
45	67	42	57	13
20	12	21	105	47
50	131	144	37	63
43	118	10	146	136
92	108	122	98	86
119	107	92	129	36
23	84	1	51	102
126	114	134	149	142
130	26	9	60	44
92	143	12	120	140
145	86	32	65	65
68	79	148	130	67
144	71	122	107	26
31	45	41	30	51
104	113	20	57	58
3	29	78	11	15
2	66	109	47	74
105	27	77	89	86
1	100	2	1	42
70	12	23	144	61
71	23	55	26	10
42	27	44	27	114
8	131	79	106	33
135	109	11	100	146
39	53	104	141	9
136	143	7	41	15
31	42	40	144	7
13	55	89	69	54
115	117	15	90	52
6	73	137	22	124
3	88	86	138	76
122	140	29	84	41
35	103	6	137	67
63	9	21	97	125
7	102	34	150	107
144	124	103	5	65
20	135	98	30	24
59	36	96	22	30
57	106	27	67	132
44	21	41	12	44
89	126	102	100	87
83	1	89	126	59
46	103	99	104	38
49	2	17	89	88
71	108	88	150	81
18	7	63	56	50
96	119	144	78	130
56	109	14	90	38
60	41	34	68	88
102	10	138	59	20
135	47	15	20	59
97	28	107	14	135
53	35	123	69	30
13	17	103	27	61
99	28	81	124	7
23	39	52	116	96
108	8	112	68	114
107	92	110	16	69
142	45	135	54	58
75	134	55	80	35
3	15	21	90	130
129	16	123	127	117
128	149	150	125	3
23	103	36	149	69
10	61	46	20	120
99	85	85	150	131
67	139	127	68	71
