39	185	189	181	96	82	167
85	160	42	121	42	173	150
182	47	119	163	186	130	177
111	36	193	13	85	148	67
86	149	93	20	143	172	118
87	157	133	59	169	133	127
149	25	101	135	131	144	177
14	113	45	38	177	38	131
170	56	55	54	178	32	47
140	28	69	118	29	138	162
69	101	124	118	43	136	100
135	58	164	12	22	74	155
194	154	48	189	58	124	122
65	99	184	84	157	182	136
93	104	40	126	124	38	172
176	192	28	20	171	190	117
162	102	139	23	27	149	22
174	114	198	72	22	77	85
49	18	85	75	124	30	27
45	133	48	197	41	104	48
191	114	187	79	160	78	22
139	43	140	139	74	150	63
71	25	87	58	133	180	178
97	98	178	15	150	154	142
126	180	59	200	104	131	141
143	91	175	142	116	36	19
136	188	194	106	148	88	69
146	179	77	19	30	150	116
114	101	24	130	120	47	86
165	134	36	196	48	84	172
155	34	137	49	180	97	23
52	87	26	170	62	56	152
177	16	35	70	56	97	140
160	199	85	156	193	62	121
17	190	91	186	176	91	69
187	169	77	166	124	16	185
51	16	62	34	199	196	189
46	62	18	52	93	25	59
184	97	15	155	176	99	50
15	59	35	53	195	162	184
167	15	87	52	130	170	104
41	121	167	119	189	53	80
35	95	72	29	28	123	91
152	117	167	191	149	188	38
96	186	145	180	45	68	140
45	165	196	82	156	64	33
92	190	69	179	39	82	89
96	128	167	112	149	20	106
85	184	65	47	200	95	169
122	154	85	163	140	179	69
103	82	185	128	131	49	56
191	194	188	182	175	21	116
106	141	85	62	51	153	105
40	125	62	76	171	108	187
110	13	124	185	109	39	83
175	104	141	93	152	161	29
192	136	44	25	144	68	88
52	127	145	164	69	17	137
74	95	59	114	60	37	90
163	82	110	26	95	80	146
94	138	121	51	34	169	105
22	112	119	78	160	146	168
156	54	22	93	117	165	166
74	106	177	194	95	12	18
139	136	199	90	47	129	126
58	66	180	180	24	34	30
127	102	151	126	154	195	80
184	67	194	90	113	161	159
122	27	22	135	89	50	133
164	144	139	160	103	13	192
165	105	62	67	10	26	21
22	100	143	89	126	196	149
163	68	163	26	197	57	194
54	156	149	159	135	167	126
78	139	88	139	181	60	55
22	110	62	149	131	90	197
195	191	124	49	15	194	132
173	126	169	131	163	66	156
104	66	159	191	132	114	20
182	178	170	98	130	125	139
78	189	140	17	146	53	69
149	121	135	160	176	191	91
72	179	34	65	68	14	183
88	168	124	148	111	58	167
82	134	186	174	45	10	159
60	197	15	12	32	180	160
99	169	183	76	111	20	45
133	104	162	13	169	161	91
106	25	94	76	132	182	14
82	91	100	15	104	159	72
137	47	88	144	12	150	52
114	185	20	144	60	35	167
82	165	160	186	143	22	162
198	137	108	186	95	20	92
71	17	130	127	43	176	126
150	42	83	150	54	30	91
118	196	160	80	179	181	164
176	93	73	65	71	143	181
53	150	50	89	47	122	183
171	94	119	87	106	175	66
163	131	14	106	116	186	52
152	38	122	57	127	141	167
16	29	200	90	186	69	182
73	140	181	111	179	100	11
168	98	138	168	143	109	186
183	114	60	72	172	199	52
15	184	38	153	57	169	32
90	63	104	42	15	196	100
163	43	177	143	88	17	190
67	26	52	128	116	48	85
126	143	157	81	135	129	20
134	196	178	28	90	46	164
15	190	19	80	191	139	200
21	10	124	22	78	59	35
193	44	155	38	18	109	28
189	35	186	196	128	172	143
182	70	64	132	64	126	27
66	198	125	43	34	135	126
169	96	190	140	52	96	139
79	64	183	31	181	89	118
148	52	176	127	135	97	188
88	151	164	84	20	185	56
126	30	70	66	31	115	28
110	112	107	154	20	195	150
124	28	80	32	168	100	166
24	23	149	66	83	98	76
39	72	184	112	92	10	41
82	55	103	29	39	125	177
23	38	151	169	102	124	173
114	160	41	42	107	86	10
18	113	189	130	112	22	161
114	102	106	186	19	34	163
135	10	19	163	109	20	81
78	99	96	174	164	147	55
43	159	151	175	133	189	195
122	120	182	199	57	187	41
46	47	37	77	33	101	152
67	129	198	41	36	57	121
172	69	48	110	88	156	44
45	139	32	11	96	60	143
195	109	145	104	199	87	189
186	99	187	44	109	171	178
183	153	184	11	73	73	37
131	26	164	10	109	48	14
112	113	39	69	78	190	66
46	83	57	113	130	154	149
166	73	64	166	43	120	47
87	197	153	175	182	135	29
176	169	23	168	118	105	115
179	164	198	65	78	143	122
98	70	11	17	124	66	114
127	68	23	140	192	130	153
88	162	106	115	171	177	31
147	15	193	26	125	173	75
108	122	43	102	17	33	89
67	170	179	112	122	92	152
178	95	85	161	29	176	58
114	80	185	132	195	21	179
158	106	169	60	23	139	169
53	121	120	27	200	68	133
26	35	14	149	186	44	186
140	41	116	12	143	105	68
182	71	91	195	129	63	172
19	196	172	78	167	200	162
28	191	18	157	133	182	114
138	59	154	102	97	121	119
111	104	93	45	194	153	167
84	185	89	179	84	149	179
91	65	18	69	112	55	44
115	50	150	193	102	45	78
91	17	153	147	157	96	142
110	124	70	103	19	128	168
47	34	60	162	183	53	90
102	172	105	19	151	99	115
168	124	135	46	90	55	200
158	171	142	47	170	36	121
63	139	84	171	199	44	69
158	13	172	87	183	166	188
53	35	138	167	145	132	68
144	136	178	191	188	149	84
183	179	17	200	194	140	13
194	150	173	11	31	125	82
180	128	149	104	176	17	194
146	114	197	73	12	70	178
115	149	151	174	121	155	183
133	37	167	91	54	129	175
68	138	28	164	175	112	73
32	178	155	60	77	91	100
61	106	58	110	98	199	114
36	141	78	65	100	99	68
52	71	84	40	28	67	121
51	148	98	172	76	86	148
12	167	158	124	152	128	121
65	137	37	176	156	53	132
64	66	33	108	13	146	28
134	199	165	135	175	107	151
104	136	78	20	100	83	25
116	194	178	158	66	137	118
85	14	81	151	53	83	193
70	116	33	36	124	56	158
16	118	199	76	117	125	121
39	50	89	162	93	86	157
60	26	159	95	187	167	32
61	29	162	99	147	124	142
91	179	102	37	39	112	146
153	173	37	188	85	175	48
162	91	180	148	94	42	126
172	188	53	46	68	181	19
197	142	12	46	50	101	25
107	121	141	53	82	130	68
56	139	116	153	153	114	135
183	87	127	25	161	45	180
159	171	166	112	89	195	87
184	181	136	29	27	73	121
129	158	132	179	66	128	117
30	196	41	33	86	66	41
175	60	133	167	138	71	56
22	64	127	73	45	109	106
43	126	89	109	106	186	92
164	59	60	148	181	133	101
169	155	63	83	101	155	48
186	167	106	56	177	64	190
76	144	149	26	194	99	79
76	99	79	149	26	106	176
174	112	124	190	47	156	23
81	171	128	198	188	144	135
27	140	77	104	132	137	171
143	74	57	99	123	140	188
42	171	41	45	141	156	143
187	24	147	65	99	163	29
20	157	191	52	89	73	66
134	191	94	186	113	48	175
183	19	85	110	162	187	185
150	109	193	100	187	185	14
109	51	92	69	104	93	60
123	32	68	33	115	113	134
157	179	100	124	84	24	41
76	18	41	77	82	117	125
99	133	179	45	46	137	149
32	188	147	53	149	89	163
119	177	104	154	53	159	139
158	115	23	144	142	79	112
17	39	107	134	81	88	170
46	37	166	14	45	23	54
94	128	42	46	102	41	195
86	152	93	85	128	160	122
178	109	91	146	111	173	98
25	197	43	56	34	190	34
187	26	189	139	114	101	155
112	197	22	169	99	198	110
59	92	88	185	86	38	97
24	173	61	32	166	33	11
51	149	81	169	108	152	181
99	169	40	157	196	29	48
61	110	18	25	130	139	32
198	83	34	65	176	158	180
122	104	183	182	119	120	120
40	84	59	174	116	12	63
191	190	43	49	76	113	191
18	187	127	199	118	166	185
170	143	105	139	157	200	186
177	19	75	45	46	75	66
181	149	183	54	42	52	135
168	123	36	146	17	20	180
42	120	105	47	35	42	39
175	128	171	19	131	27	73
150	27	49	198	36	125	16
41	146	52	50	29	86	85
30	41	188	73	138	105	193
46	182	189	104	37	191	143
170	68	27	158	24	196	111
155	64	178	117	42	92	112
97	115	158	100	47	19	96
106	92	55	86	12	195	40
18	143	91	124	18	186	167
176	155	96	185	18	176	45
121	106	24	141	36	33	38
121	12	140	103	51	136	23
138	32	185	33	109	183	105
48	129	37	102	159	144	155
80	167	33	104	147	35	131
35	94	46	198	49	185	198
113	55	127	41	183	185	34
122	41	57	174	60	83	197
54	44	136	109	115	181	157
93	50	21	95	183	113	124
60	29	148	22	117	126	162
184	193	194	160	153	11	182
58	18	81	171	114	36	200
85	50	80	181	19	138	128
48	142	42	173	186	94	91
121	186	117	40	20	39	145
127	144	11	120	177	195	123
181	186	165	197	200	54	95
174	96	173	101	106	38	92
194	113	122	180	170	127	26
198	126	29	94	132	25	158
34	150	27	66	125	112	113
144	27	94	33	53	168	193
47	131	146	24	132	92	76
30	33	101	188	121	85	176
168	182	122	162	194	145	182
114	178	66	21	173	183	31
80	59	154	38	195	166	167
36	70	49	73	11	111	76
38	179	48	198	176	171	46
169	157	74	157	125	18	117
191	52	146	138	36	112	175
92	55	165	110	66	76	51
163	147	18	192	184	23	16
146	145	80	139	149	191	92
97	58	172	178	47	175	109
195	52	107	39	76	44	146
54	133	62	172	77	174	21
47	55	147	153	134	31	99
174	176	120	140	134	108	95
162	167	70	77	166	182	40
80	57	192	180	195	111	104
57	55	188	144	123	47	45
31	78	61	141	42	61	56
150	52	41	101	171	142	161
192	108	47	66	85	140	28
126	29	127	126	74	118	71
157	23	188	86	23	18	189
149	77	188	134	160	94	25
122	19	47	138	54	62	176
174	48	72	133	75	124	68
49	33	27	128	41	41	151
53	110	32	135	196	56	25
123	175	67	175	150	43	34
26	186	165	176	14	139	122
106	15	183	12	133	28	51
58	172	161	117	36	33	44
177	166	26	53	103	56	116
123	160	168	40	18	19	83
93	86	136	10	54	178	117
158	24	15	15	52	150	59
200	116	51	172	106	115	73
190	127	171	116	141	13	46
151	165	182	38	86	65	54
101	140	105	33	132	60	137
92	42	20	158	178	67	33
103	31	72	156	54	132	157
176	158	193	119	137	44	131
53	128	73	65	18	107	12
100	112	82	100	75	129	180
108	148	11	145	61	149	42
117	166	179	153	68	151	32
111	84	138	117	64	132	102
85	89	163	189	147	14	129
189	11	40	27	44	135	24
122	53	84	86	78	138	139
121	194	74	76	124	171	71
136	37	29	113	96	119	190
70	140	76	126	63	167	158
91	192	169	147	184	22	184
57	78	67	12	116	98	89
122	141	180	183	161	179	157
93	87	84	98	142	165	176
88	40	16	69	198	116	78
190	175	137	51	56	113	123
134	193	177	73	83	187	100
128	59	83	120	149	159	117
11	12	40	78	75	143	59
176	74	97	72	190	70	11
166	40	180	24	22	106	27
117	154	144	35	29	133	175
112	20	52	123	157	190	160
142	183	175	89	114	39	122
84	108	90	189	21	29	106
160	70	47	174	132	171	122
198	131	50	108	92	33	59
112	51	169	39	60	186	16
15	97	61	114	64	112	10
105	29	98	131	168	45	155
57	155	186	140	32	139	99
45	120	133	171	133	83	24
126	92	76	78	111	46	36
33	99	87	33	162	45	53
153	180	95	194	55	10	200
82	12	198	80	91	38	81
27	139	158	174	11	80	30
172	51	196	33	141	137	126
99	28	15	85	86	71	189
45	148	62	127	135	195	141
117	195	31	184	182	114	37
184	16	147	57	121	110	94
65	33	37	60	188	73	36
146	111	167	142	89	144	61
153	147	60	23	21	46	174
21	127	145	66	111	104	106
24	91	108	34	71	117	176
199	52	126	14	116	30	66
120	172	124	145	182	147	114
125	180	131	194	144	124	96
78	174	151	200	74	170	24
34	136	115	177	190	193	32
90	189	147	111	181	157	17
127	26	69	148	187	122	124
89	184	124	161	162	59	127
74	115	51	152	96	156	119
11	34	200	44	145	191	46
29	151	58	198	49	73	64
97	43	83	155	58	107	135
86	35	51	97	114	50	58
87	117	65	158	175	24	35
200	126	142	84	22	120	181
83	179	46	96	85	84	187
116	98	63	20	183	120	47
146	44	102	69	117	135	97
17	99	117	177	72	50	18
77	18	155	142	62	167	58
158	44	43	15	61	60	149
39	57	25	97	122	60	120
69	140	177	88	178	160	192
162	33	177	61	93	101	68
113	38	125	99	94	55	177
197	25	106	42	31	130	84
34	19	94	173	170	134	80
175	155	23	104	187	79	33
126	160	23	109	171	32	54
57	34	36	42	196	61	24
170	73	105	18	108	172	82
14	54	196	172	139	26	53
133	189	112	79	182	39	192
45	178	80	50	141	71	141
66	48	137	44	39	155	87
119	138	198	80	78	108	189
197	56	42	58	165	80	15
115	134	20	155	33	40	145
101	124	27	18	173	143	47
195	86	119	120	67	91	106
131	166	124	10	107	29	197
84	140	61	147	55	128	144
37	42	69	116	108	67	103
101	19	110	128	116	24	20
50	82	83	113	167	49	81
175	29	176	48	142	71	46
136	150	19	178	193	96	109
182	14	31	134	104	118	57
96	31	56	112	27	151	182
144	59	55	57	188	167	31
28	109	133	84	116	198	131
118	88	27	111	28	75	171
135	122	196	161	150	170	30
188	35	74	106	11	61	132
121	93	138	23	26	23	157
