-220	885	422	228	-180													
-162	986	97	-513	-650													
-698	135	132	-9	-25													
800	915	-284	-525	41													
985	-143	993	430	-965													
-283	-765	-740	-607	-242													
847	66	830	63	-361													
164	585	-888	346	960													
-112	932	509	-83	-174													
-188	-749	-876	23	258													
-785	718	-541	927	953													
352	-625	962	698	-86													
-475	-978	-480	-648	-625													
724	-881	-753	232	-428													
479	877	-662	370	415													
730	-829	934	-65	-934													
-634	-192	-585	98	326													
-561	-184	-591	253	-549													
880	746	-737	-839	405													
855	-474	-79	-983	-570													
889	88	26	-353	840													
-848	-931	508	-283	480													
720	806	785	905	897													
90	548	-543	163	-431													
-529	-829	-254	-407	107													
-892	-813	567	-286	506													
-476	178	-112	-591	-710													
15	-136	-588	574	-683													
-491	975	-619	-623	-701													
-100	-534	-706	992	-950													
-79	434	408	-750	811													
11	-170	-318	557	139													
889	539	-780	655	-273													
-444	480	-708	-553	753													
574	-438	782	437	-490													
-224	-821	227	-857	854													
344	143	365	-971	246													
-860	143	344	43	-398													
429	264	-345	657	-875													
584	-467	-932	944	176													
-242	70	443	619	30													
32	-936	-365	827	479													
715	-603	-510	190	942													
-205	-114	357	742	610													
758	-503	-615	252	172													
705	-657	-150	852	-716													
762	934	-921	148	223													
-42	996	491	-853	575													
432	712	374	401	305													
721	-770	808	896	-444													
-339	676	-395	-61	582													
-836	-811	591	-288	-171													
-924	555	-620	229	985													
588	310	-172	-707	252													
-387	582	-775	-954	-227													
964	-85	-219	-123	-149													
997	939	380	958	-54													
427	-746	-835	-790	831													
-277	344	798	163	-108													
-419	430	-293	-476	-866													
-536	186	-845	202	351													
-951	-882	-395	-957	-316													
51	839	600	973	912													
-10	-38	-124	-566	615													
882	388	188	-885	-728													
-440	746	-426	-761	426													
-777	633	548	429	874													
-888	-875	-551	-316	-42													
-566	565	785	520	-626													
-571	581	-592	140	-348													
-254	375	554	749	118													
697	204	-814	935	-161													
-165	661	730	-918	-902													
50	-137	-858	696	-353													
-241	497	-376	359	-58													
626	934	77	-545	374													
743	-82	-42	822	57													
23	-508	-717	-666	995													
-61	45	-55	-419	81													
310	-107	611	-710	-838													
303	359	-991	-400	740													
-238	-79	689	528	649													
211	53	-600	-628	-153													
-365	-316	-939	374	-253													
955	646	-763	72	-290													
894	162	223	-205	-218													
656	-518	962	-655	-972													
924	-863	-551	654	793													
-280	277	281	250	-466													
-880	-705	-874	982	-32													
-894	128	602	27	-633													
425	706	-64	-519	-283													
704	764	-98	-381	239													
326	-444	-905	683	959													
683	-379	130	982	54													
925	-843	91	-109	-236													
-274	39	122	637	-122													
245	237	-332	786	897													
-172	-822	-968	987	71													
-509	499	622	628	-92													
-160	-356	900	-627	801													
-390	228	-160	445	324													
-179	-617	298	463	631													
-787	-12	-175	-486	-27													
541	-390	-730	689	-837													
-838	343	-271	-210	959													
-430	911	-479	-963	405													
-366	386	424	-560	260													
-947	-88	584	-825	80													
758	128	-648	868	830													
-493	-110	-318	390	705													
-72	-424	-821	-292	-906													
-330	-861	445	-768	188													
205	1	-305	-182	-124													
-68	-661	-554	138	-192													
-186	-301	155	338	580													
548	-567	-838	-620	-57													
188	268	-649	481	770													
-41	-10	-809	-255	248													
841	940	-337	-255	5													
-425	-596	574	-512	-78													
483	-108	682	917	573													
-932	-245	373	-879	442													
274	357	-528	-754	-969													
-909	-151	682	568	-559													
-564	753	176	560	-82													
-168	-829	-642	-573	-884													
653	475	-689	258	629													
-796	-625	-685	-722	-432													
-957	177	895	124	99													
-284	500	-185	-342	-967													
39	-497	312	-850	-42													
358	-995	821	348	-489													
-375	-34	679	-303	-831													
444	554	93	-185	-645													
564	779	101	-333	197													
-322	-789	-646	-768	-844													
479	-230	-898	-830	225													
-755	-155	892	-964	30													
548	-200	833	277	-945													
-189	-480	476	-713	259													
961	932	-901	-679	788													
-912	710	406	237	-574													
457	532	388	-455	-579													
-920	348	-788	637	548													
24	-800	35	-888	-894													
-240	-377	-237	288	-57													
-710	-555	-725	-613	-948													
880	-235	-917	900	768													
-217	-745	402	298	-56													
385	612	89	507	-77													
162	331	-382	-312	306													
848	220	455	-647	324													
199	-270	167	-200	-199													
-942	-42	607	-662	-992													
592	248	-964	294	-620													
-84	-662	742	778	-121													
-196	906	-797	-299	-811													
-420	-55	466	-96	867													
384	-389	-338	106	666													
611	29	-832	-953	968													
669	-822	-455	-965	-158													
573	868	-765	-855	-920													
-658	-117	737	375	152													
-380	-877	-669	506	-543													
-95	711	-488	-608	-322													
-652	-1	-772	-38	404													
703	20	813	-62	214													
-887	412	-795	-589	53													
587	-149	-411	-349	81													
-379	845	844	-969	925													
895	649	620	896	-209													
330	749	384	347	342													
747	-246	-236	-19	101													
-76	-376	645	-882	802													
-804	-99	752	370	125													
56	-996	-129	997	692													
654	-487	541	-726	-877													
648	736	-948	793	485													
-746	-19	-685	734	249													
652	-181	-932	-31	389													
-431	342	-742	-497	911													
137	-620	128	510	459													
151	936	580	963	-480													
228	-555	636	-391	456													
-383	-130	-455	-542	706													
215	253	-593	410	-114													
923	-982	367	-824	209													
119	346	-219	-322	228													
-949	-319	-971	737	-130													
-32	-904	207	-92	-397													
642	106	-673	662	-703													
-487	268	193	-829	-297													
384	-916	-257	214	-756													
-758	-975	-3	827	34													
302	818	-564	67	342													
-829	645	-895	148	-820													
601	-914	-520	328	-54													
889	866	658	308	546													
228	-81	-553	-774	-289													
-65	369	-634	923	-884													
946	179	-654	421	-361													
-798	-233	412	-480	123													
-856	-711	980	242	562													
21	-510	-114	-839	-560													
964	631	-854	640	658													
551	-895	42	-855	-807													
211	204	-901	872	-85													
-308	933	891	171	959													
-193	-530	-812	-260	-73													
-285	-942	68	-43	860													
703	-202	348	-353	-286													
761	-541	822	30	-954													
-403	-760	900	-640	-305													
139	190	-628	-726	345													
166	561	881	-538	775													
-978	-986	-501	346	-568													
-353	608	-438	604	322													
812	-905	-754	-457	481													
-428	799	-937	-866	-744													
760	-297	-280	-179	-480													
540	135	-51	-195	430													
-902	-201	335	891	-673													
358	736	-556	709	-921													
-372	-798	-148	-810	886													
-460	-891	249	698	513													
-107	-943	375	29	-28													
-781	-406	257	-381	788													
682	-895	722	117	-862													
-983	169	627	491	179													
-432	-757	-259	177	-994													
706	916	548	-694	-509													
